Transaction Date/Time,Vehicle Number,Odometer,Product,Volume,Customer Price,Total Price
2025-12-04 08:53:00,EK71569,9703.0,Benzin - Blyfri,0.01000,25.00000,0.25
2025-12-04 08:27:00,EF97621,14249.0,Diesel,19.35000,25.00000,483.75
2025-12-04 06:51:00,EG66573,11041.0,Diesel,5.51000,25.00000,137.75
2025-12-04 06:06:00,DF70080,57154.0,Benzin - Blyfri,22.02000,25.00000,550.5
2025-12-03 16:18:00,DJ43505,113489.0,Benzin - Blyfri,7.53000,25.00000,188.25
2025-12-03 15:11:00,EL27007,3484.0,Benzin - Blyfri,9.32000,25.00000,233.0
2025-12-03 10:37:00,EB15008,28746.0,Benzin - Blyfri,2.67000,25.00000,66.75
2025-12-03 10:32:00,DB28306,94066.0,Benzin - Blyfri,13.02000,25.00000,325.5
2025-12-03 09:17:00,EJ16568,20234.0,Benzin - Blyfri,29.01000,25.00000,725.25
2025-12-03 08:09:00,DB34895,102627.0,Benzin - Blyfri,10.73000,25.00000,268.25
2025-12-02 17:04:00,DM86993,56989.0,Benzin - Blyfri,12.13000,25.00000,303.25
2025-12-02 16:38:00,EK21841,6898.0,Benzin - Blyfri,12.32000,25.00000,308.0
2025-12-02 14:32:00,EB52427,48211.0,Diesel,25.89000,25.00000,647.25
2025-12-02 14:30:00,EB52428,47612.0,Diesel,29.49000,25.00000,737.25
2025-12-02 14:27:00,CK52036,163968.0,Diesel,21.27000,25.00000,531.75
2025-12-02 13:25:00,EL14285,64.0,Benzin - Blyfri,4.03000,25.00000,100.75
2025-12-02 13:19:00,DS30615,42567.0,Benzin - Blyfri,1.61000,25.00000,40.25
2025-12-02 12:50:00,DV54833,63049.0,Diesel,66.99000,25.00000,1674.75
2025-12-02 11:55:00,ED23408,41219.0,Diesel,6.67000,25.00000,166.75
2025-12-02 11:53:00,EL14319,78.0,Benzin - Blyfri,6.10000,25.00000,152.5
2025-12-02 11:18:00,EF20902,23125.0,Benzin - Blyfri,29.68000,25.00000,742.0
2025-12-02 10:18:00,DW69143,54040.0,Diesel,38.61000,25.00000,965.25
2025-12-02 10:15:00,EL14315,354.0,Benzin - Blyfri,24.88000,25.00000,622.0
2025-12-02 09:19:00,EK36072,14598.0,Benzin - Blyfri,25.26000,25.00000,631.5
2025-12-02 07:50:00,DN88454,53085.0,Diesel,4.00000,25.00000,100.0
2025-12-02 06:47:00,DH49891,63477.0,Benzin - Blyfri,3.32000,25.00000,83.0
2025-12-02 06:03:00,EJ43150,14902.0,Benzin - Blyfri,10.31000,25.00000,257.75
2025-12-01 17:09:00,EC97141,30268.0,Benzin - Blyfri,12.08000,25.00000,302.0
2025-12-01 16:00:00,EH80227,6725.0,Benzin - Blyfri,15.01000,25.00000,375.25
2025-12-01 15:33:00,DB34895,102471.0,Benzin - Blyfri,31.08000,25.00000,777.0
2025-12-01 14:55:00,EJ24742,24591.0,Diesel,20.01000,25.00000,500.25
2025-12-01 14:46:00,EJ27136,16670.0,Diesel,16.52000,25.00000,413.0
2025-12-01 14:38:00,DT92015,9411.0,Benzin - Blyfri,21.50000,25.00000,537.5
2025-12-01 11:55:00,EK10045,9002.0,Benzin - Blyfri,3.51000,25.00000,87.75
2025-12-01 11:40:00,EA55614,51272.0,Benzin - Blyfri,7.12000,25.00000,178.0
2025-12-01 11:37:00,EH92480,14618.0,Benzin - Blyfri,18.01000,25.00000,450.25
2025-12-01 10:51:00,EH57620,16970.0,Benzin - Blyfri,5.03000,25.00000,125.75
2025-12-01 09:24:00,EK71569,9483.0,Benzin - Blyfri,9.22000,25.00000,230.5
2025-12-01 08:24:00,DJ43505,113103.0,Benzin - Blyfri,4.10000,25.00000,102.5
2025-12-01 06:43:00,CT22982,137906.0,Diesel,14.45000,25.00000,361.25
2025-12-01 05:45:00,EK29149,12579.0,Benzin - Blyfri,19.67000,25.00000,491.75
2025-12-01 05:28:00,EJ62555,18231.0,Benzin - Blyfri,8.11000,25.00000,202.75
2025-12-01 05:09:00,EJ22572,15842.0,Benzin - Blyfri,16.09000,25.00000,402.25
2025-11-30 13:36:00,DJ87328,94566.0,Diesel,3.66000,25.00000,91.5
2025-11-30 07:08:00,EJ56391,22250.0,Diesel,45.00000,25.00000,1125.0
2025-11-30 07:04:00,EC36431,45242.0,Benzin - Blyfri,29.03000,25.00000,725.75
2025-11-30 06:31:00,DL54020,61614.0,Diesel,36.03000,25.00000,900.75
2025-11-30 06:16:00,ED23410,26125.0,Diesel,38.85000,25.00000,971.25
2025-11-29 13:59:00,EJ22572,15563.0,Benzin - Blyfri,45.51000,25.00000,1137.75
2025-11-29 13:49:00,EJ22572,15563.0,NA,0.00000,,0.0
2025-11-29 13:47:00,EJ22572,15563.0,NA,0.00000,,0.0
2025-11-29 13:19:00,EB83330,15643.0,Benzin - Blyfri,21.06000,25.00000,526.5
2025-11-29 12:32:00,DP58841,55030.0,Benzin - Blyfri,4.01000,25.00000,100.25
2025-11-29 12:17:00,EL14339,197.0,Benzin - Blyfri,12.04000,25.00000,301.0
2025-11-29 11:35:00,DR78336,58909.0,Benzin - Blyfri,18.06000,25.00000,451.5
2025-11-28 15:51:00,DF71819,52129.0,Diesel,13.00000,25.00000,325.0
2025-11-28 14:24:00,DE45459,57313.0,Benzin - Blyfri,2.58000,25.00000,64.5
2025-11-28 10:33:00,EH92476,11951.0,Benzin - Blyfri,22.51000,25.00000,562.75
2025-11-28 09:24:00,DT26840,51089.0,Benzin - Blyfri,21.23000,25.00000,530.75
2025-11-28 08:31:00,DV29921,32034.0,Benzin - Blyfri,22.01000,25.00000,550.25
2025-11-28 08:06:00,EK56830,6110.0,Diesel,23.25000,25.00000,581.25
2025-11-28 07:26:00,DT88068,42809.0,Benzin - Blyfri,18.01000,25.00000,450.25
2025-11-28 07:05:00,EJ45648,18202.0,Benzin - Blyfri,21.11000,25.00000,527.75
2025-11-28 06:55:00,DM28616,69724.0,Benzin - Blyfri,30.13000,25.00000,753.25
2025-11-28 06:28:00,DV13002,51353.0,Benzin - Blyfri,38.50000,25.00000,962.5
2025-11-28 06:07:00,EK21829,11054.0,Diesel,12.46000,25.00000,311.5
2025-11-27 17:13:00,EL14279,58.0,Benzin - Blyfri,6.02000,25.00000,150.5
2025-11-27 17:09:00,EL14335,283.0,Benzin - Blyfri,17.05000,25.00000,426.25
2025-11-27 16:32:00,EB63567,42543.0,Diesel,17.01000,25.00000,425.25
2025-11-27 16:25:00,DJ39305,48355.0,Benzin - Blyfri,21.04000,25.00000,526.0
2025-11-27 15:53:00,DV12151,52720.0,Diesel,10.50000,25.00000,262.5
2025-11-27 14:06:00,EB27092,31741.0,Benzin - Blyfri,24.04000,25.00000,601.0
2025-11-27 13:35:00,EJ43109,22403.0,Diesel,20.01000,25.00000,500.25
2025-11-27 13:25:00,EJ56390,16285.0,Diesel,15.44000,25.00000,386.0
2025-11-27 13:12:00,DV52984,48066.0,Diesel,14.84000,25.00000,371.0
